metric,sex,percentile,age,value
almi,female,97,72.68710462287103,8.621309062509388
almi,female,97,73.13479318734792,8.621309062509388
almi,female,97,73.58248175182482,8.621309062509388
almi,female,97,74.0301703163017,8.619006137795001
almi,female,97,74.4778588807786,8.612097363651838
almi,female,97,74.92554744525546,8.612097363651838
almi,female,97,75.37323600973235,8.612097363651838
almi,female,97,75.82092457420924,8.612097363651838
almi,female,97,76.26861313868613,8.612097363651838
almi,female,97,76.71630170316303,8.609794438937453
almi,female,97,77.16399026763989,8.60288566479429
almi,female,97,77.61167883211678,8.60288566479429
almi,female,97,78.05936739659367,8.60288566479429
almi,female,97,78.50705596107056,8.60288566479429
almi,female,97,78.95474452554745,8.600582740079902
almi,female,97,79.40243309002432,8.593673965936741
almi,female,97,79.85012165450121,8.593673965936741
almi,female,97,80.2978102189781,8.593673965936741
almi,female,97,80.74549878345499,8.593673965936741
almi,female,97,81.19318734793188,8.593673965936741
almi,female,97,81.58491484184916,8.593673965936741
almi,female,90,18.069099756690996,7.297127351736706
almi,female,90,18.516788321167883,7.320156598880579
almi,female,90,18.964476885644768,7.340882921310064
almi,female,90,19.524087591240875,7.368518017882712
almi,female,90,19.97177615571776,7.393850189740972
almi,female,90,20.419464720194647,7.41227358745607
almi,female,90,20.86715328467153,7.435302834599943
almi,female,90,21.31484184914842,7.456029157029429
almi,female,90,21.762530413625303,7.476755479458913
almi,female,90,22.210218978102187,7.495178877174012
almi,female,90,22.657907542579075,7.51360227488911
almi,female,90,23.10559610705596,7.532025672604208
almi,female,90,23.553284671532847,7.543540296176144
almi,female,90,24.00097323600973,7.5573578444624685
almi,female,90,24.44866180048662,7.571175392748792
almi,female,90,24.896350364963503,7.584992941035115
almi,female,90,25.344038929440387,7.5919017151782775
almi,female,90,25.791727493917275,7.603416338750214
almi,female,90,26.23941605839416,7.608022188178988
almi,female,90,26.687104622871047,7.61493096232215
almi,female,90,27.13479318734793,7.6264455858940865
almi,female,90,27.582481751824815,7.6264455858940865
almi,female,90,28.030170316301703,7.631051435322861
almi,female,90,28.477858880778587,7.635657284751636
almi,female,90,28.925547445255475,7.64026313418041
almi,female,90,29.37323600973236,7.644868983609184
almi,female,90,29.820924574209243,7.644868983609184
almi,female,90,30.26861313868613,7.644868983609184
almi,female,90,30.716301703163015,7.654080682466733
almi,female,90,31.163990267639903,7.65638360718112
almi,female,90,31.611678832116787,7.663292381324283
almi,female,90,32.05936739659367,7.66559530603867
almi,female,90,32.50705596107056,7.677109929610606
almi,female,90,32.95474452554744,7.681715779039381
almi,female,90,33.40243309002433,7.693230402611317
almi,female,90,33.850121654501216,7.704745026183254
almi,female,90,34.2978102189781,7.71625964975519
almi,female,90,34.745498783454984,7.732380122755901
almi,female,90,35.193187347931875,7.746197671042224
almi,female,90,35.64087591240876,7.760015219328548
